date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:15:31	8577/8577	---M--	200	added ('OK')	image/jpeg	etag:%222a1c1ebceeb1a92ff7aa300663839aad-ssl%22	https://mack-html.netlify.app/assets/img/latest-project/v2/project-2.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/latest-project/v2/project-2.jpg	(from https://mack-html.netlify.app/)
08:15:32	10686/10686	---M--	200	added ('OK')	image/jpeg	etag:%22c7a333c17d3982add3efaa88f9cad82b-ssl%22	https://mack-html.netlify.app/assets/img/latest-project/v2/project-3.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/latest-project/v2/project-3.jpg	(from https://mack-html.netlify.app/)
08:15:33	10073/10073	---M--	200	added ('OK')	image/jpeg	etag:%22e7022a6d5522e25f167bee73625fd314-ssl%22	https://mack-html.netlify.app/assets/img/latest-project/v2/project-4.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/latest-project/v2/project-4.jpg	(from https://mack-html.netlify.app/)
08:15:34	8947/8947	---M--	200	added ('OK')	image/jpeg	etag:%22004dc48ff84eccbee362fd6fc85b16d2-ssl%22	https://mack-html.netlify.app/assets/img/latest-project/v2/project-5.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/latest-project/v2/project-5.jpg	(from https://mack-html.netlify.app/)
08:15:34	10686/10686	---M--	200	added ('OK')	image/jpeg	etag:%22c7a333c17d3982add3efaa88f9cad82b-ssl%22	https://mack-html.netlify.app/assets/img/latest-project/v2/project-6.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/latest-project/v2/project-6.jpg	(from https://mack-html.netlify.app/)
08:15:36	92441/92441	---M--	200	added ('OK')	image/png	etag:%2252e226f9c592bdb13871afa8b0f15e99-ssl%22	https://mack-html.netlify.app/assets/img/testimonial/v2/background-img.png	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/testimonial/v2/background-img.png	(from https://mack-html.netlify.app/)
08:15:36	10440/10440	---M--	200	added ('OK')	image/jpeg	etag:%221d0f8e43a605e6c9e6673ce88649768d-ssl%22	https://mack-html.netlify.app/assets/img/our-team/v1/profile-1.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/our-team/v1/profile-1.jpg	(from https://mack-html.netlify.app/)
08:15:37	9000/9000	---M--	200	added ('OK')	image/jpeg	etag:%22d1a74275c30f70efd80031f7c8fba6b6-ssl%22	https://mack-html.netlify.app/assets/img/our-team/v1/profile-2.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/our-team/v1/profile-2.jpg	(from https://mack-html.netlify.app/)
08:15:38	12160/12160	---M--	200	added ('OK')	image/jpeg	etag:%2271cda5eb8b456f19f238c527b741aa6b-ssl%22	https://mack-html.netlify.app/assets/img/our-team/v1/profile-3.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/our-team/v1/profile-3.jpg	(from https://mack-html.netlify.app/)
08:15:39	8226/8226	---M--	200	added ('OK')	image/jpeg	etag:%22b39c412d9a606bf0732998ca5b2a4f07-ssl%22	https://mack-html.netlify.app/assets/img/our-team/v1/profile-4.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/our-team/v1/profile-4.jpg	(from https://mack-html.netlify.app/)
08:15:40	22597/22597	---MCZ	200	added ('OK')	text/html	etag:%22facb9d38f1d0b14923503713a7a46dd5-ssl-df%22	https://mack-html.netlify.app/blog-details	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/blog-details.html	(from https://mack-html.netlify.app/)
08:15:41	8803/8803	---M--	200	added ('OK')	image/jpeg	etag:%2267206f1821958cc01b3cb74443dbba32-ssl%22	https://mack-html.netlify.app/assets/img/news-blog/v2/card-img-1.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/news-blog/v2/card-img-1.jpg	(from https://mack-html.netlify.app/)
08:15:42	1664/1664	---M--	200	added ('OK')	image/jpeg	etag:%228c4428a9b4ef5cca354c451ea171545e-ssl%22	https://mack-html.netlify.app/assets/img/news-blog/v2/profile-1.jpg	C:/My%20Web%20Sites/Ayodele%20Smarth/mack-html.netlify.app/assets/img/news-blog/v2/profile-1.jpg	(from https://mack-html.netlify.app/)
